Job Title,Company Name,Company Location,Job Type,Posted date,Experience,Requirements
Data Scientists Team Lead,Smart Vision Technologies,"Sheraton, Cairo, Egypt",Full Time,2024-09-03,Manager,IT/Software Development · Engineering - Telecom/Technology Data Science Data Analysis · Analytics Computer Science · Information Technology (IT) · SQL · Agile
Data Analyst Lead / Manager,WUZZUF,"Maadi, Cairo, Egypt",Full Time,2024-09-03,Manager,IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering Computer Science Data Analysis · Engineering · Microsoft Excel
Data Analyst,United Group Steel,"10th of Ramadan City, Sharqia, Egypt",Full Time,2024-08-31,Entry Level,Accounting/Finance · IT/Software Development · Analyst/Research Data Entry Financial Data Analysis Data Analysis · Microsoft Excel · Financial Accounting · Business Analysis · Analysis
Data scientist/Statistician,COB Solution,"Maadi, Cairo, Egypt",Full Time,2024-08-29,Experienced,Business Development · Analyst/Research · Algorithms Computer Science Data Data Mining Data Science · Machine Learning · Mathematics · Statistics
Senior Data Modeler (Banking Experience Required),BBI-Consultancy,"Maadi, Cairo, Egypt",Full Time,2024-08-25,Experienced,IT/Software Development · Analyst/Research · Engineering - Telecom/Technology Computer Science Database · Engineering · Python · SQL · Programming Data Warehousing
Data Center Design Leader,Mobi Egypt,"Cairo, Egypt",Full Time,2024-08-22,Experienced,Engineering - Telecom/Technology · Design Data center · Information Technology (IT) Computer Science · Engineering · CDCDP certification · DCCA certification · Uptime Institute Certified Data Center design
Automation and Data Integration Manager,BariQ,"6th of October, Giza, Egypt",Full Time,2024-08-19,Manager,Engineering - Telecom/Technology Computer Science Data Management Data Integration · Integration · SQL Data Modeling · Oracle · BI Tools · Tableau
"Data Analyst -Internship ""Alexandria""",Egyptian Abrasives Co.,"Alexandria, Egypt",Internship,2024-08-21,Student,Analyst/Research · Engineering - Telecom/Technology · Analysis Data Analysis · Information Technology (IT) Computer Science · Training · Communication
Data Engineer,Coformatique,"Cairo, Egypt",Full Time,2024-08-19,Experienced,IT/Software Development · Engineering - Telecom/Technology · Spark · kafka · Hive · Computer Engineering Computer Science Data Modeling · Information Technology (IT) · Programming
Data Management Lead,REI Call Center,"Alexandria, Egypt",Full Time,2024-08-17,Manager,IT/Software Development · Engineering - Telecom/Technology Data Management · Real Estate · Information Technology (IT) Data · Automation · Visualization Database SQL Server · Management
Data Analyst,Selah ElTelmeez For Publishing & printing,"Obour City, Cairo, Egypt",Full Time,2024-09-14,Experienced,Analyst/Research · Analysis · analytical · business Computer Science Data Analyst · Reporting · Statistics · Analyst · Information Technology (IT)
Data Analyst,Kasrawy Group,"Abu Rawash, Giza, Egypt",Full Time,2024-09-14,Experienced,IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Communication · Communication skills · Analysis Computer Science · Economics Data Analysis · English
